"player","team","pos","country","season","tier"
"Dixie McNeil","Hereford United","FW","England",1975,3
"Peter Grotier","Lincoln City","GK","England",1975,4
"Ian Branfoot","Lincoln City","DF","England",1975,4
"Sam Ellis","Lincoln City","DF","England",1975,4
"Terry Cooper","Lincoln City","DF","Wales",1975,4
"Phil Sandercock","Torquay United","DF","England",1975,4
"Geoff Hutt","Huddersfield Town","MF","England",1975,4
"Ian Miller","Doncaster Rovers","MF","Scotland",1975,4
"Tony Whelan","Rochdale","MF","England",1975,4
"John Ward","Lincoln City","FW","England",1975,4
"Ronnie Moore","Tranmere Rovers","FW","England",1975,4
"Peter Kitchen","Doncaster Rovers","FW","England",1975,4
"Ray Clemence","Liverpool","GK","England",1976,1
"John Gidman","Aston Villa","DF","England",1976,1
"Roy McFarland","Derby County","DF","England",1976,1
"Kevin Beattie","Ipswich Town","DF","England",1976,1
"Mick Mills","Ipswich Town","DF","England",1976,1
"Kevin Keegan","Liverpool","MF","England",1976,1
"Brian Talbot","Ipswich Town","MF","England",1976,1
"Trevor Brooking","West Ham United","MF","England",1976,1
"Trevor Francis","Birmingham City","FW","England",1976,1
"Andy Gray","Aston Villa","FW","Scotland",1976,1
"Dennis Tueart","Manchester City","FW","England",1976,1
"George Wood","Blackpool","GK","Scotland",1976,2
"Gary Locke","Chelsea","DF","England",1976,2
"Paul Jones","Bolton Wanderers","DF","England",1976,2
"Paul Futcher","Luton Town","DF","England",1976,2
"David Peach","Southampton","DF","England",1976,2
"George Best","Fulham","MF","Northern Ireland",1976,2
"Gary Stanley","Chelsea","MF","England",1976,2
"Ray Wilkins","Chelsea","MF","England",1976,2
"John Richards","Wolverhampton Wanderers","FW","England",1976,2
"Mick Channon","Southampton","FW","England",1976,2
"John Robertson","Nottingham Forest","FW","Scotland",1976,2
"Tom McAlister","Rotherham United","GK","Scotland",1976,3
"John McMahon","Preston North End","DF","England",1976,3
"Ian Evans","Crystal Palace","DF","Wales",1976,3
"Graham Cross","Brighton & Hove Albion","DF","England",1976,3
"Kenny Sansom","Crystal Palace","DF","England",1976,3
"Arfon Griffiths","Wrexham","MF","Wales",1976,3
"Brian Horton","Brighton & Hove Albion","MF","England",1976,3
"Alan Crawford","Rotherham United","MF","England",1976,3
"Peter Ward","Brighton & Hove Albion","FW","England",1976,3
"Billy Ashcroft","Wrexham","FW","England",1976,3
"Alan Buckley","Walsall","FW","England",1976,3
"Terry Poole","Huddersfield Town","GK","England",1976,4
"Brendon Batson","Cambridge United","DF","England",1976,4
"Lindsay Smith","Colchester United","DF","England",1976,4
"Steve Dowman","Colchester United","DF","England",1976,4
"Andy Ford","Southend United","DF","England",1976,4
