"player","team","pos","country","season","tier"
"David Williams","Bristol Rovers","MF","Wales",1984,3
"Tony Cascarino","Gillingham","FW","Republic of Ireland",1984,3
"Bobby Campbell","Bradford City","FW","Northern Ireland",1984,3
"Bobby Davison","Derby County","FW","England",1984,3
"Fred Barber","Darlington","GK","England",1984,4
"Chris Price","Hereford United","DF","England",1984,4
"Martin Dobson","Bury","DF","England",1984,4
"Steve Hetzke","Blackpool","DF","England",1984,4
"Russell Bromage","Port Vale","DF","England",1984,4
"Jim Harvey","Hereford United","MF","Northern Ireland",1984,4
"Joe Jakub","Bury","MF","Scotland",1984,4
"Trevor Quow","Peterborough United","MF","England",1984,4
"Tony Adcock","Colchester United","FW","England",1984,4
"Stewart Phillips","Hereford United","FW","England",1984,4
"John Clayton","Tranmere Rovers","FW","England",1984,4
"Peter Shilton","Southampton","GK","England",1985,1
"Gary Stevens","Everton","DF","England",1985,1
"Mark Lawrenson","Liverpool","DF","Republic of Ireland",1985,1
"Paul McGrath","Manchester United","DF","Republic of Ireland",1985,1
"Kenny Sansom","Arsenal","DF","England",1985,1
"Glenn Hoddle","Tottenham Hotspur","MF","England",1985,1
"Bryan Robson","Manchester United","MF","England",1985,1
"Stewart Robson","Arsenal","MF","England",1985,1
"Gary Lineker","Everton","FW","England",1985,1
"Mark Hughes","Manchester United","FW","Wales",1985,1
"Paul Walsh","Liverpool","FW","England",1985,1
"Chris Woods","Norwich City","GK","England",1985,2
"Paul Parker","Fulham","DF","England",1985,2
"Steve Bruce","Norwich City","DF","England",1985,2
"Dave Watson","Norwich City","DF","England",1985,2
"Mark Reid","Charlton Athletic","DF","Scotland",1985,2
"Danny Wilson","Brighton & Hove Albion","MF","Northern Ireland",1985,2
"Ian Snodin","Leeds United","MF","England",1985,2
"Mark Aizlewood","Charlton Athletic","MF","Wales",1985,2
"Kevin Drinkell","Norwich City","FW","England",1985,2
"Vince Hilaire","Portsmouth","FW","England",1985,2
"Keith Bertschin","Stoke City","FW","England",1985,2
"Mark Wallington","Derby County","GK","England",1985,3
"Gordon Nisbet","Plymouth Argyle","DF","England",1985,3
"Steve Buckley","Derby County","DF","England",1985,3
"Ross MacLaren","Derby County","DF","Scotland",1985,3
"Terry Boyle","Newport County","DF","Wales",1985,3
"John Gregory","Derby County","MF","England",1985,3
"Terry Hurlock","Reading","MF","England",1985,3
"Bobby Hutchinson","Bristol City","MF","Scotland",1985,3
"Bobby Davison","Derby County","FW","England",1985,3
"Trevor Senior","Reading","FW","England",1985,3
"Tony Cascarino","Gillingham","FW","Republic of Ireland",1985,3
"Mike Salmon","Stockport County","GK","England",1985,4
"Chris Price","Hereford United","DF","England",1985,4
"George Foster","Mansfield Town","DF","England",1985,4
"Phil Sproson","Port Vale","DF","England",1985,4
"Martin Pike","Peterborough United","DF","England",1985,4
"Jim Harvey","Hereford United","MF","Northern Ireland",1985,4
"Kevin Hird","Burnley","MF","England",1985,4
"Trevor Quow","Peterborough United","MF","England",1985,4
"Stuart Rimmer","Chester City","FW","England",1985,4
"Frank Worthington","Tranmere Rovers","FW","England",1985,4
"Richard Cadette","Southend United","FW","England",1985,4
"Neville Southall","Everton","GK","Wales",1986,1
"Viv Anderson","Arsenal","DF","England",1986,1
"Alan Hansen","Liverpool","DF","Scotland",1986,1
"Tony Adams","Arsenal","DF","England",1986,1
"Kenny Sansom","Arsenal","DF","England",1986,1
"Glenn Hoddle","Tottenham Hotspur","MF","England",1986,1
"Kevin Sheedy","Everton","MF","Republic of Ireland",1986,1
"David Rocastle","Arsenal","MF","England",1986,1
"Ian Rush","Liverpool","FW","Wales",1986,1
"Clive Allen","Tottenham Hotspur","FW","England",1986,1
"Peter Beardsley","Newcastle United","FW","England",1986,1
"Andy Goram","Oldham Athletic","GK","Scotland",1986,2
"Lee Dixon","Stoke City","DF","England",1986,2
"Larry May","Barnsley","DF","England",1986,2
"Noel Blake","Portsmouth","DF","Jamaica",1986,2
"Julian Dicks","Birmingham City","DF","England",1986,2
"John Sheridan","Leeds United","MF","Republic of Ireland",1986,2
"John Gregory","Derby County","MF","England",1986,2
"Stuart McCall","Bradford City","MF","Scotland",1986,2
"Bobby Davison","Derby County","FW","England",1986,2
"Micky Quinn","Portsmouth","FW","England",1986,2
"John Hendrie","Bradford City","FW","Scotland",1986,2
"Gerry Peyton","Bournemouth","GK","Republic of Ireland",1986,3
"Paul Parker","Fulham","DF","England",1986,3
"Colin Greenall","Gillingham","DF","England",1986,3
"Gary Pallister","Middlesbrough","DF","England",1986,3
"Kenny Mower","Walsall","DF","England",1986,3
"Brian Laws","Middlesbrough","MF","England",1986,3
"Asa Hartford","Bolton Wanderers","MF","Scotland",1986,3
"Bobby Hutchinson","Walsall","MF","Scotland",1986,3
"David Kelly","Walsall","FW","Republic of Ireland",1986,3
"Ian McParland","Notts County","FW","Scotland",1986,3
"Tony Cascarino","Gillingham","FW","Republic of Ireland",1986,3
"Jim Stannard","Southend United","GK","England",1986,4
"Alan Paris","Peterborough United","DF","England",1986,4
"Keith McPherson","Northampton Town","DF","England",1986,4
"Sam Allardyce","Preston North End","DF","England",1986,4
"Terry Phelan","Swansea City","DF","Republic of Ireland",1986,4
"Richard Hill","Northampton Town","MF","England",1986,4
"Jim Harvey","Hereford United","MF","Northern Ireland",1986,4
"Tommy Hutchison","Swansea City","MF","Scotland",1986,4
"Richard Cadette","Southend United","FW","England",1986,4
"Trevor Morley","Northampton Town","FW","England",1986,4
"Colin Pascoe","Northampton Town","FW","Wales",1986,4
"Neville Southall","Everton","GK","Wales",1987,1
"Gary Stevens","Everton","DF","England",1987,1
"Alan Hansen","Liverpool","DF","Scotland",1987,1
"Gary Gillespie","Liverpool","DF","Scotland",1987,1
"Stuart Pearce","Nottingham Forest","DF","England",1987,1
"Steve McMahon","Liverpool","MF","England",1987,1
"Peter Reid","Everton","MF","England",1987,1
"Paul Gascoigne","Newcastle United","MF","England",1987,1
"John Barnes","Liverpool","MF","England",1987,1
"Peter Beardsley","Liverpool","FW","England",1987,1
"Graeme Sharp","Everton","FW","Scotland",1987,1
"Nigel Spink","Aston Villa","GK","England",1987,2
"Chris Price","Blackburn Rovers","DF","England",1987,2
"Gary Pallister","Middlesbrough","DF","England",1987,2
"Tony Mowbray","Middlesbrough","DF","England",1987,2
"Andy Hinchcliffe","Manchester City","DF","England",1987,2
"Stuart McCall","Bradford City","MF","Scotland",1987,2
"Andy Gray","Aston Villa","MF","England",1987,2
"John Sheridan","Leeds United","MF","Republic of Ireland",1987,2
"Paul Stewart","Manchester City","FW","England",1987,2
"Mark Bright","Crystal Palace","FW","England",1987,2
"John Hendrie","Bradford City","FW","Scotland",1987,2
"Kevin Hitchcock","Mansfield Town","GK","England",1987,3
"Roger Joseph","Brentford","DF","England",1987,3
"Gary Bennett","Sunderland","DF","England",1987,3
"Dean Yates","Notts County","DF","England",1987,3
"Keith Dublin","Brighton & Hove Albion","DF","England",1987,3
"Ray Walker","Port Vale","MF","England",1987,3
"Geoff Pike","Notts County","MF","England",1987,3
"Andy Williams","Rotherham United","MF","England",1987,3
"Garry Nelson","Brighton & Hove Albion","FW","England",1987,3
"Leroy Rosenior","Fulham","FW","Sierra Leone",1987,3
"Ian McParland","Notts County","FW","Scotland",1987,3
"Mark Kendall","Wolverhampton Wanderers","GK","Wales",1987,4
"Phil Brown","Halifax Town","DF","England",1987,4
"Terry Boyle","Cardiff City","DF","Wales",1987,4
"Keith Day","Leyton Orient","DF","England",1987,4
"Kevin Dickenson","Leyton Orient","DF","England",1987,4
"Mick Gooding","Peterborough United","MF","England",1987,4
"Alan Davies","Swansea City","MF","Wales",1987,4
"Paul Wimbleton","Cardiff City","MF","England",1987,4
"Steve Bull","Wolverhampton Wanderers","FW","England",1987,4
"David Currie","Darlington","FW","England",1987,4
"Andy Mutch","Wolverhampton Wanderers","FW","England",1987,4
"Neville Southall","Everton","GK","Wales",1988,1
"Steve Nicol","Liverpool","DF","Scotland",1988,1
"Des Walker","Nottingham Forest","DF","England",1988,1
"Paul Parker","Queens Park Rangers","DF","England",1988,1
"Stuart Pearce","Nottingham Forest","DF","England",1988,1
"David Rocastle","Arsenal","MF","England",1988,1
"Bryan Robson","Manchester United","MF","England",1988,1
"Andy Townsend","Norwich City","MF","Republic of Ireland",1988,1
"Chris Waddle","Tottenham Hotspur","MF","England",1988,1
"Mark Hughes","Manchester United","FW","Wales",1988,1
"Alan Smith","Arsenal","FW","England",1988,1
"Tony Coton","Watford","GK","England",1988,2
"David Bardsley","Oxford United","DF","England",1988,2
"Graham Roberts","Chelsea","DF","England",1988,2
"Colin Hendry","Blackburn Rovers","DF","Scotland",1988,2
"Tony Dorigo","Chelsea","DF","England",1988,2
"Neil McNab","Manchester City","MF","Scotland",1988,2
"Gary McAllister","Leicester City","MF","Scotland",1988,2
"John Sheridan","Leeds United","MF","Republic of Ireland",1988,2
"Gordon Durie","Chelsea","FW","Scotland",1988,2
"Ian Wright","Crystal Palace","FW","England",1988,2
"David Currie","Barnsley","FW","England",1988,2
"Nigel Martyn","Bristol Rovers","GK","England",1988,3
"Phil Brown","Bolton Wanderers","DF","England",1988,3
"Dean Yates","Notts County","DF","England",1988,3
"Rob Newman","Bristol City","DF","England",1988,3
"Chris Coleman","Swansea City","DF","Wales",1988,3
"Ray Walker","Port Vale","MF","England",1988,3
"Brian Mooney","Preston North End","MF","Republic of Ireland",1988,3
"Sammy McIlroy","Bury","MF","Northern Ireland",1988,3
"Steve Bull","Wolverhampton Wanderers","FW","England",1988,3
"Andy Mutch","Wolverhampton Wanderers","FW","England",1988,3
"Tony Agana","Sheffield United","FW","England",1988,3
"Eric Nixon","Tranmere Rovers","GK","England",1988,4
"Billy Russell","Rotherham United","DF","Scotland",1988,4
"Shaun Taylor","Exeter City","DF","England",1988,4
"Neil Thompson","Exeter City","DF","England",1988,4
"Joey Jones","Wrexham","DF","Wales",1988,4
"Jim Harvey","Tranmere Rovers","MF","Northern Ireland",1988,4
"Tony Grealish","Rotherham United","MF","Republic of Ireland",1988,4
"Paul Ward","Leyton Orient","MF","England",1988,4
"Phil Stant","Hereford United","FW","England",1988,4
"Ian Muir","Tranmere Rovers","FW","England",1988,4
"Kevin Russell","Wrexham","FW","England",1988,4
"Neville Southall","Everton","GK","Wales",1989,1
"Lee Dixon","Arsenal","DF","England",1989,1
"Des Walker","Nottingham Forest","DF","England",1989,1
"Alan Hansen","Liverpool","DF","Scotland",1989,1
"Stuart Pearce","Nottingham Forest","DF","England",1989,1
"David Platt","Aston Villa","MF","England",1989,1
"Steve Hodge","Nottingham Forest","MF","England",1989,1
"Steve McMahon","Liverpool","MF","England",1989,1
"John Barnes","Liverpool","MF","England",1989,1
"Peter Beardsley","Liverpool","FW","England",1989,1
"Gary Lineker","Tottenham Hotspur","FW","England",1989,1
"Tony Coton","Watford","GK","England",1989,2
"Denis Irwin","Oldham Athletic","DF","Republic of Ireland",1989,2
"Chris Fairclough","Leeds United","DF","England",1989,2
"Earl Barrett","Oldham Athletic","DF","England",1989,2
"Julian Dicks","West Ham United","DF","England",1989,2
"Gordon Strachan","Leeds United","MF","Scotland",1989,2
"Gary McAllister","Leicester City","MF","Scotland",1989,2
"Scott Sellars","Blackburn Rovers","MF","England",1989,2
"Andy Ritchie","Oldham Athletic","FW","England",1989,2
"Micky Quinn","Newcastle United","FW","England",1989,2
"Steve Bull","Wolverhampton Wanderers","FW","England",1989,2
"Eric Nixon","Tranmere Rovers","GK","England",1989,3
"Phil Brown","Bolton Wanderers","DF","England",1989,3
"Rob Newman","Bristol City","DF","England",1989,3
"Dean Yates","Notts County","DF","England",1989,3
"Paul Edwards","Crewe Alexandra","DF","England",1989,3
"Jim Harvey","Tranmere Rovers","MF","Northern Ireland",1989,3
"Shaun Goodwin","Rotherham United","MF","England",1989,3
"Steve Thompson","Bolton Wanderers","MF","England",1989,3
"Bobby Williamson","Rotherham United","FW","Scotland",1989,3
"Ian Muir","Tranmere Rovers","FW","England",1989,3
"David Lee","Bury","FW","England",1989,3
"Chris Marples","York City","GK","England",1989,4
"Scott Hiley","Exeter City","DF","England",1989,4
"Shaun Taylor","Exeter City","DF","England",1989,4
"Paul Fitzpatrick","Carlisle United","DF","England",1989,4
"Rob McKinnon","Hartlepool United","DF","Scotland",1989,4
"Mick Halsall","Peterborough United","MF","England",1989,4
"Steve Spooner","York City","MF","England",1989,4
"Danny Bailey","Exeter City","MF","England",1989,4
"Darran Rowbotham","Exeter City","FW","England",1989,4
"David Crown","Southend United","FW","England",1989,4
"Steve Neville","Exeter City","FW","England",1989,4
"David Seaman","Arsenal","GK","England",1990,1
"Lee Dixon","Arsenal","DF","England",1990,1
"Des Walker","Nottingham Forest","DF","England",1990,1
"Mark Wright","Derby County","DF","England",1990,1
"Stuart Pearce","Nottingham Forest","DF","England",1990,1
"Gordon Strachan","Leeds United","MF","Scotland",1990,1
"Paul Gascoigne","Tottenham Hotspur","MF","England",1990,1
"Andy Townsend","Chelsea","MF","Republic of Ireland",1990,1
"John Barnes","Liverpool","MF","England",1990,1
"Mark Hughes","Manchester United","FW","Wales",1990,1
"Ian Rush","Liverpool","FW","Wales",1990,1
"Ludek Mikloško","West Ham United","GK","Czech Republic",1990,2
"David Kerslake","Swindon Town","DF","England",1990,2
"Earl Barrett","Oldham Athletic","DF","England",1990,2
"Nigel Pearson","Sheffield Wednesday","DF","England",1990,2
"Paul Bodin","Swindon Town","DF","Wales",1990,2
"Ian Bishop","West Ham United","MF","England",1990,2
"John Sheridan","Sheffield Wednesday","MF","Republic of Ireland",1990,2
"Carlton Palmer","Sheffield Wednesday","MF","England",1990,2
"David Hirst","Sheffield Wednesday","FW","England",1990,2
"Steve Bull","Wolverhampton Wanderers","FW","England",1990,2
"Trevor Morley","West Ham United","FW","England",1990,2
"Eric Nixon","Tranmere Rovers","GK","England",1990,3
"Phil Brown","Bolton Wanderers","DF","England",1990,3
"Lee Sinnott","Bradford City","DF","England",1990,3
"Peter Atherton","Wigan Athletic","DF","England",1990,3
"Chris Coleman","Swansea City","DF","Wales",1990,3
"Neil McNab","Tranmere Rovers","MF","Scotland",1990,3
"Steve Castle","Leyton Orient","MF","England",1990,3
"Keith Jones","Brentford","MF","England",1990,3
"Brett Angell","Southend United","FW","England",1990,3
"Tony Philliskirk","Bolton Wanderers","FW","England",1990,3
"Wayne Biggins","Stoke City","FW","England",1990,3
"Keith Welch","Rochdale","GK","England",1990,4
"Malcolm Brown","Stockport County","DF","England",1990,4
"Steve Davis","Burnley","DF","England",1990,4
"Brendan Ormsby","Doncaster Rovers","DF","England",1990,4
"Rufus Brevett","Doncaster Rovers","DF","England",1990,4
"Gary Gill","Darlington","MF","England",1990,4
"David Frain","Stockport County","MF","England",1990,4
"Mick Halsall","Peterborough United","MF","England",1990,4
"Stuart Rimmer","Walsall","FW","England",1990,4
"Joe Allon","Hartlepool United","FW","England",1990,4
"Steve Butler","Maidstone United","FW","England",1990,4
"Tony Coton","Manchester City","GK","England",1991,1
"Rob Jones","Liverpool","DF","England",1991,1
"Gary Pallister","Manchester United","DF","England",1991,1
"Des Walker","Nottingham Forest","DF","England",1991,1
"Stuart Pearce","Nottingham Forest","DF","England",1991,1
"Ray Houghton","Liverpool","MF","Republic of Ireland",1991,1
"Gary McAllister","Leeds United","MF","Scotland",1991,1
"Andy Townsend","Chelsea","MF","Republic of Ireland",1991,1
"Gary Lineker","Tottenham Hotspur","FW","England",1991,1
"Alan Shearer","Southampton","FW","England",1991,1
"Mark Hughes","Manchester United","FW","Wales",1991,1
"David James","Watford","GK","England",1991,2
"David Kerslake","Swindon Town","DF","England",1991,2
"David Linighan","Ipswich Town","DF","England",1991,2
"Colin Calderwood","Swindon Town","DF","Scotland",1991,2
"John Beresford","Portsmouth","DF","England",1991,2
"Micky Hazard","Swindon Town","MF","England",1991,2
"Gordon Cowans","Blackburn Rovers","MF","England",1991,2
"Scott Sellars","Blackburn Rovers","MF","England",1991,2
"Duncan Shearer","Swindon Town","FW","Scotland",1991,2
"John Aldridge","Tranmere Rovers","FW","Republic of Ireland",1991,2
"David Speedie","Blackburn Rovers","FW","Scotland",1991,2
"Chris Turner","Leyton Orient","GK","England",1991,3
"Scott Hiley","Exeter City","DF","England",1991,3
"Terry Evans","Brentford","DF","England",1991,3
"Vince Overson","Stoke City","DF","England",1991,3
"Simon Charlton","Huddersfield Town","DF","England",1991,3
"Chris Marsden","Huddersfield Town","MF","England",1991,3
"Tony Kelly","Bolton Wanderers","MF","England",1991,3
"Nigel Gleghorn","Birmingham City","MF","England",1991,3
"Wayne Biggins","Stoke City","FW","England",1991,3
"Dean Holdsworth","Brentford","FW","England",1991,3
"Iwan Roberts","Huddersfield Town","FW","Wales",1991,3
"Kelham O'Hanlon","Carlisle United","GK","Republic of Ireland",1991,4
"Paul Fleming","Mansfield Town","DF","England",1991,4
"Steve Davis","Burnley","DF","England",1991,4
"Alan Walker","Gillingham","DF","England",1991,4
"Phil Hardy","Wrexham","DF","Republic of Ireland",1991,4
"Shaun Goodwin","Rotherham United","MF","England",1991,4
"Paul Groves","Blackpool","MF","England",1991,4
"Kenny Lowe","Barnet","MF","England",1991,4
"Gary Bull","Barnet","FW","England",1991,4
"Dave Bamber","Blackpool","FW","England",1991,4
"Phil Stant","Mansfield Town","FW","England",1991,4
"Peter Schmeichel","Manchester United","GK","Denmark",1992,1
"David Bardsley","Queens Park Rangers","DF","England",1992,1
"Paul McGrath","Aston Villa","DF","Republic of Ireland",1992,1
"Gary Pallister","Manchester United","DF","England",1992,1
"Tony Dorigo","Leeds United","DF","England",1992,1
"Roy Keane","Nottingham Forest","MF","Republic of Ireland",1992,1
"Gary Speed","Leeds United","MF","Wales",1992,1
"Paul Ince","Manchester United","MF","England",1992,1
"Ryan Giggs","Manchester United","MF","Wales",1992,1
"Alan Shearer","Blackburn Rovers","FW","England",1992,1
"Ian Wright","Arsenal","FW","England",1992,1
"Ludek Mikloško","West Ham United","GK","Czech Republic",1992,2
"David Kerslake","Swindon Town","DF","England",1992,2
"Craig Short","Derby County","DF","England",1992,2
"Colin Cooper","Millwall","DF","England",1992,2
"John Beresford","Newcastle United","DF","England",1992,2
"Lee Clark","Newcastle United","MF","England",1992,2
"Micky Hazard","Swindon Town","MF","England",1992,2
"Martin Allen","West Ham United","MF","England",1992,2
"John Aldridge","Tranmere Rovers","FW","Republic of Ireland",1992,2
"Guy Whittingham","Portsmouth","FW","England",1992,2
"Gavin Peacock","Newcastle United","FW","England",1992,2
"Marlon Beresford","Burnley","GK","England",1992,3
"Scott Hiley","Exeter City","DF","England",1992,3
"Vince Overson","Stoke City","DF","England",1992,3
"Peter Swan","Port Vale","DF","England",1992,3
"Simon Charlton","Huddersfield Town","DF","England",1992,3
"Ray Walker","Port Vale","MF","England",1992,3
"Ian Taylor","Port Vale","MF","England",1992,3
"Darren Bradley","West Bromwich Albion","MF","England",1992,3
"Mark Stein","Stoke City","FW","England",1992,3
"Andy Walker","Bolton Wanderers","FW","Scotland",1992,3
"Bob Taylor","West Bromwich Albion","FW","England",1992,3
"Mark Prudhoe","Darlington","GK","England",1992,4
"Andy McMillan","York City","DF","South Africa",1992,4
"Paul Stancliffe","York City","DF","England",1992,4
"Matt Elliott","Scunthorpe United","DF","Scotland",1992,4
"Damon Searle","Cardiff City","DF","Wales",1992,4
"Kenny Lowe","Barnet","MF","England",1992,4
"Derek Payne","Barnet","MF","England",1992,4
"Gareth Owen","Wrexham","MF","Wales",1992,4
"Gary Bull","Barnet","FW","England",1992,4
"Darren Foreman","Scarborough","FW","England",1992,4
"Carl Griffiths","Shrewsbury Town","FW","Wales",1992,4
"Tim Flowers","Blackburn Rovers","GK","England",1993,1
"Gary Kelly","Leeds United","DF","Republic of Ireland",1993,1
"Gary Pallister","Manchester United","DF","England",1993,1
"Tony Adams","Arsenal","DF","England",1993,1
"Denis Irwin","Manchester United","DF","Republic of Ireland",1993,1
"Paul Ince","Manchester United","MF","England",1993,1
"Gary McAllister","Leeds United","MF","Scotland",1993,1
"David Batty","Blackburn Rovers","MF","England",1993,1
"Alan Shearer","Blackburn Rovers","FW","England",1993,1
"Eric Cantona","Manchester United","FW","France",1993,1
"Peter Beardsley","Newcastle United","FW","England",1993,1
"Nigel Martyn","Crystal Palace","GK","England",1993,2
"Gary Charles","Derby County","DF","England",1993,2
"Colin Cooper","Nottingham Forest","DF","England",1993,2
"Eric Young","Crystal Palace","DF","Wales",1993,2
"Scott Minto","Charlton Athletic","DF","England",1993,2
"Jason McAteer","Bolton Wanderers","MF","Republic of Ireland",1993,2
"Mark Draper","Notts County","MF","England",1993,2
"Scot Gemmill","Nottingham Forest","MF","Scotland",1993,2
"Stan Collymore","Nottingham Forest","FW","England",1993,2
"Paul Walsh","Portsmouth","FW","England",1993,2
"Chris Armstrong","Crystal Palace","FW","England",1993,2
"Marlon Beresford","Burnley","GK","England",1993,3
"Neil Aspin","Port Vale","DF","England",1993,3
"Adrian Williams","Reading","DF","Wales",1993,3
"Dean Glover","Port Vale","DF","England",1993,3
"Dylan Kerr","Reading","DF","England",1993,3
"Steve Castle","Plymouth Argyle","MF","England",1993,3
"Ian Taylor","Port Vale","MF","England",1993,3
"Ian Bogie","Leyton Orient","MF","England",1993,3
"Jimmy Quinn","Reading","FW","Northern Ireland",1993,3
"Andy Preece","Stockport County","FW","England",1993,3
"Dean Windass","Hull City","FW","England",1993,3
"Martin Hodge","Rochdale","GK","England",1993,4
"Jason Cousins","Wycombe Wanderers","DF","England",1993,4
"Terry Evans","Wycombe Wanderers","DF","England",1993,4
"Alan Reeves","Rochdale","DF","England",1993,4
"Roger Stanislaus","Bury","DF","England",1993,4
"Steve Guppy","Wycombe Wanderers","MF","England",1993,4
"Tony Rigby","Bury","MF","England",1993,4
"Neil Lennon","Crewe Alexandra","MF","Northern Ireland",1993,4
"Tony Ellis","Preston North End","FW","England",1993,4
"Dean Spink","Shrewsbury Town","FW","England",1993,4
"Dave Reeves","Carlisle United","FW","England",1993,4
"Tim Flowers","Blackburn Rovers","GK","England",1994,1
"Rob Jones","Liverpool","DF","England",1994,1
"Gary Pallister","Manchester United","DF","England",1994,1
"Colin Hendry","Blackburn Rovers","DF","Scotland",1994,1
"Graeme Le Saux","Blackburn Rovers","DF","England",1994,1
"Tim Sherwood","Blackburn Rovers","MF","England",1994,1
"Matthew Le Tissier","Southampton","MF","England",1994,1
"Paul Ince","Manchester United","MF","England",1994,1
"Jürgen Klinsmann","Tottenham Hotspur","FW","Germany",1994,1
"Chris Sutton","Blackburn Rovers","FW","England",1994,1
"Alan Shearer","Blackburn Rovers","FW","England",1994,1
"Shaka Hislop","Reading","GK","Trinidad and Tobago",1994,2
"Neil Cox","Middlesbrough","DF","England",1994,2
"Alan Stubbs","Bolton Wanderers","DF","England",1994,2
"Craig Short","Derby County","DF","England",1994,2
"Ben Thatcher","Millwall","DF","Wales",1994,2
"Jason McAteer","Bolton Wanderers","MF","Republic of Ireland",1994,2
"Alex Rae","Millwall","MF","Scotland",1994,2
"Jamie Pollock","Middlesbrough","MF","England",1994,2
"Jan Åge Fjørtoft","Middlesbrough[nb 2]","FW","Norway",1994,2
"John Hendrie","Middlesbrough","FW","Scotland",1994,2
"John Aldridge","Tranmere Rovers","FW","Republic of Ireland",1994,2
"Ian Bennett","Birmingham City","GK","England",1994,3
"Gary Poole","Birmingham City","DF","England",1994,3
"Liam Daish","Birmingham City","DF","Republic of Ireland",1994,3
"Dean Richards","Bradford City","DF","England",1994,3
"Tom Cowan","Huddersfield Town","DF","Scotland",1994,3
"John Cornforth","Swansea City","MF","England",1994,3
"Mark Ward","Birmingham City","MF","England",1994,3
"Neil Lennon","Crewe Alexandra","MF","Northern Ireland",1994,3
"Gary Bennett","Wrexham","FW","England",1994,3
"Andy Booth","Huddersfield Town","FW","England",1994,3
"Nicky Forster","Brentford","FW","England",1994,3
"Gary Kelly","Bury","GK","Republic of Ireland",1994,4
"Duncan Jupp","Fulham","DF","Scotland",1994,4
"Dean Walling","Carlisle United","DF","Saint Kitts and Nevis",1994,4
"Russ Wilcox","Doncaster Rovers","DF","England",1994,4
"Tony Gallimore","Carlisle United","DF","England",1994,4
"Martin O'Connor","Walsall","MF","Cayman Islands",1994,4
"Paul Holland","Mansfield Town","MF","England",1994,4
"Wayne Bullimore","Scunthorpe United","MF","England",1994,4
"Dave Reeves","Carlisle United","FW","England",1994,4
"Dougie Freedman","Barnet","FW","Scotland",1994,4
"Kyle Lightbourne","Walsall","FW","Bermuda",1994,4
"David James","Liverpool","GK","England",1995,1
"Gary Neville","Manchester United","DF","England",1995,1
"Tony Adams","Arsenal","DF","England",1995,1
"Ugo Ehiogu","Aston Villa","DF","England",1995,1
"Alan Wright","Aston Villa","DF","England",1995,1
"Steve Stone","Nottingham Forest","MF","England",1995,1
"Rob Lee","Newcastle United","MF","England",1995,1
"Ruud Gullit","Chelsea","MF","Netherlands",1995,1
"David Ginola","Newcastle United","MF","France",1995,1
"Les Ferdinand","Newcastle United","FW","England",1995,1
"Alan Shearer","Blackburn Rovers","FW","England",1995,1
"Alan Kelly","Sheffield United","GK","Republic of Ireland",1995,2
"Dariusz Kubicki","Sunderland","DF","Poland",1995,2
"Dean Richards","Wolverhampton Wanderers","DF","England",1995,2
"Richard Rufus","Charlton Athletic","DF","England",1995,2
"Dean Gordon","Crystal Palace","DF","England",1995,2
"Lee Bowyer","Charlton Athletic","MF","England",1995,2
"Alex Rae","Millwall","MF","Scotland",1995,2
"Garry Parker","Leicester City","MF","England",1995,2
"Michael Gray","Sunderland","MF","England",1995,2
"Dean Sturridge","Derby County","FW","England",1995,2
"Steve Claridge","Leicester City","FW","England",1995,2
"Darren Ward","Notts County","GK","Wales",1995,3
"Chris Wilder","Notts County","DF","England",1995,3
"Shaun Taylor","Swindon Town","DF","England",1995,3
"Ian Culverhouse","Swindon Town","DF","England",1995,3
"Paul Bodin","Swindon Town","DF","Wales",1995,3
"Martin O'Connor","Walsall","MF","Cayman Islands",1995,3
"Neil Lennon","Crewe Alexandra","MF","Northern Ireland",1995,3
"Micky Mellon","Blackpool","MF","Scotland",1995,3
"Karl Connolly","Wrexham","MF","England",1995,3
"Marcus Stewart","Bristol Rovers","FW","England",1995,3
"Kurt Nogan","Burnley","FW","Wales",1995,3
"Jim Stannard","Gillingham","GK","England",1995,4
"Duncan Jupp","Fulham","DF","Scotland",1995,4
"Michael Heathcote","Plymouth Argyle","DF","England",1995,4
"Russ Wilcox","Preston North End","DF","England",1995,4
"Paul Williams","Plymouth Argyle","DF","England",1995,4
"Simon Davey","Preston North End","MF","Wales",1995,4
"Mark Kinsella","Colchester United","MF","Republic of Ireland",1995,4
"Roberto Martínez","Wigan Athletic","MF","Spain",1995,4
"Ian Bryson","Preston North End","MF","Scotland",1995,4
"Andy Saville","Preston North End","FW","England",1995,4
"Carl Dale","Cardiff City","FW","Wales",1995,4
"David Seaman","Arsenal","GK","England",1996,1
"Gary Neville","Manchester United","DF","England",1996,1
"Tony Adams","Arsenal","DF","England",1996,1
"Mark Wright","Liverpool","DF","England",1996,1
"Stig Inge Bjørnebye","Liverpool","DF","Norway",1996,1
"David Beckham","Manchester United","MF","England",1996,1
"Roy Keane","Manchester United","MF","Republic of Ireland",1996,1
"David Batty","Newcastle United","MF","England",1996,1
"Steve McManaman","Liverpool","MF","England",1996,1
"Alan Shearer","Newcastle United","FW","England",1996,1
"Ian Wright","Arsenal","FW","England",1996,1
"Alan Kelly","Sheffield United","GK","Republic of Ireland",1996,2
"Nicky Eaden","Barnsley","DF","England",1996,2
"Gerry Taggart","Bolton Wanderers","DF","Northern Ireland",1996,2
"Dean Richards","Wolverhampton Wanderers","DF","England",1996,2
"Steve Froggatt","Wolverhampton Wanderers","DF","England",1996,2
